,Year,Date,District,Address,Building,Cause
591,2016,11-10,Yuen Long,,Wong Chuk Yuen,85 year old man was found unconscious in bed and died
592,2016,11-10,Tuen Mun,,Pierhead Garden,72 year old man was found unconscious in apartment and died
593,2016,11-10,Ngau Tau Kok,Lower Ngau Tau Kok Estate,Kwai Hin House,47 year old man was found unconscious and confirmed dead
594,2016,11-08,Yuen Long,Tin Chak Estate,Chak Sing House,11 year old girl collapsed in living room and confirmed dead
595,2016,11-08,Yuen Long,Long Ping Estate,Shek Ping House,64 year old woman fell from heights
596,2016,11-08,Pok Fu Lam,Wah Fu Estate,Wah Tai House,81 year old woman fell from heights and died
597,2016,11-08,Aberdeen,South Horizons Tower,Hoi Yat Court,73 year old woman climbed out of the window unit floor
598,2016,11-07,Sham Shui Po,,180-182 Hai Tan Street,60 year old man was found dead inside suite
599,2016,11-06,Yuen Long,Tin Yuet Estate,Yuet Fu House,33 year old woman committed charcoal burning suicide at home
600,2016,11-06,Tin Shui Wai,Kingswood,Lynwood Court,27 year old man fell from apartment unit and died
601,2016,11-06,Tseung Kwan O,,Yee Ming Estate,50 year old man fell into a coma and was found dead inside apartment
602,2016,11-05,Tuen Mun,,Sherwood,53 year old woman hanged herself with nylon rope at home
603,2016,11-05,Tung Chung,Yat Tung Estate,Kui Yat House,Man fell from heights and died
604,2016,11-04,Tseung Kwan O,,Hong Sing Garden,26 year old man committed charcoal burning suicide inside room
605,2016,11-04,Fanling,,Dawning Views,52 year old woman was found unconscious and pronounced dead upon arrival at hospital
606,2016,11-04,Kwun Tong,Po Tat Estate,Tat Chui House,30 year old man fell from heights and died
607,2016,11-04,Kennedy Town,,Ka Fai Court,69 year old woman fell from rooftop and pronounced dead upon arrival at hospital
608,2016,11-02,Ngau Tau Kok,Choi Ying Estate,Ying Fu House,Man fell from heights and died on the scene
609,2016,11-01,Tseung Kwan O,,La Cite Noble,94 year old man fell from heights and died
610,2016,11-01,To Kwa Wan,,On Tai Building,11 year old girl suffering from cancer fell into a coma and died inside room
611,2016,10-31,Sham Shui Po,,Tung Lo Court,30 year old woman committed charcoal burning suicide and died
612,2016,10-23,Tung Chung,Yat Tung Estate,Ping Yat House,45 year old man fell from heights after getting drunk
613,2016,10-23,Fanling,,Sha Tau Kok Tsuen,40 year old man hanged himself with rope inside apartment
614,2016,10-22,Sheung Shui,,Royal Green Tower,Man fell from heights and died on the scene
615,2016,10-21,Kwai Chung,Lei Muk Shue Estste,Chui Shue House,Woman hanged herself inside apartment
616,2016,10-21,Shek Kip Mei,Pak Tin Estate,Wan Tin House,40 year old woman was found dead inside apartment after reports of foul smell from the unit
617,2016,10-20,Tin Shui Wai,Tin Oi Court,Oi Tao House,Middle-aged women was found dead on canopy after a fire started in her kitchen
618,2016,10-19,Kwun Tong,Shun Tin Estate,Tin Fai House,Man fell from heights in the afternoon
619,2016,10-19,Shau Kei Wan,Yiu Tung Estate,Yiu Wah House,30 year old woman fell from heights and pronounced dead upon arrival at hospital
620,2016,10-18,Ho Man Tin,Ho Man Tin Estate,Sik Man House,67 year old man was found to have committed suicide in his toilet
621,2016,10-17,Tin Shui Wai,Tin Yiu Estate,Yiu Chak House,Woman fell from heights and died on the scene
622,2016,10-17,To Kwa Wan,,Sky Towers,49 year old man fell off the balcony of his apartment due to emotional and financial problems
623,2016,10-16,Tseung Kwan O,Kin Ming Estate,Ming Wik House,19 year old girl jumped from living room after argument with family
624,2016,10-15,Tai Kok Tsui,Fu Cheong Estate,Fu Wen House,35 year old man fell from heights and died
625,2016,10-15,Ho Man Tin,Ho Man Tin Estate,Choi Man House,53 year old man became unconscious during fire and pronounced dead upon arrival at hospital
626,2016,10-14,Fanling,,Shek Wu San Tsuen,17 year old boy troubled by family issues hanged himself with rope
627,2016,10-13,Tuen Mun,,Century Gate Tower,56 year old woman was found dead inside home after reports of foul smell and bloody water seeping out
628,2016,10-12,Tin Shui Wai,,Tin Lai Court,57 year old woman fell from the kitchen
629,2016,10-12,Kwai Chung,Shek Lei Estate 2,Shek Yan House,51 year old woman suffering from emotional illness climbed out window and fell to his death
630,2016,10-12,Yau Ma Tei,,Man King Building,94 year old man hanged himself with tie inside room
631,2016,10-12,Ngau Tau Kok,Upper Ngau Tau Kok Estate,Sheung Tai House,67 year old man fell from apartment and died
632,2016,10-11,Fanling,Yung Shing Court,Yung Wa House,26 year old man fell from rooftop and died
633,2016,10-10,Tuen Mun,,Siu Lung Court,57 year old man suffering from long-term illness and jumped from the heights
634,2016,10-10,Tseung Kwan O,Shin Ming Estate,Shin Lai House,91 year old man hanged himself with nylon rope inside toilet
635,2016,10-09,Wong Tai Sin,Tsz Oi Court,Oi Wai House,34 year old man fell from building and died on the spot
636,2016,10-08,Sha Tin,Sun Chui Estate,Sun Wai House,77 year old woman was found dead inside apartment after reports of foul smell
637,2016,10-08,Wong Tai Sin,Upper Wong Tai Sin Estate,Cheong Sin House,21 year old youth committed suicide by jumping from kitchen after coming home
638,2016,10-06,Sha Tin,Sun Chui Estate,Sun Wai House,41 year old man fell from heights and was pronounced dead upon arrival at hospital
639,2016,10-06,Kowloon City,Tung Tau Estate,Hing Tung House,80 year old man fell from heights and was pronounced dead upon arrival at hospital
640,2016,10-04,Yuen Long,Tin Chak Estate,Chak Yun House,60 year old man was found unconscious inside apartment
641,2016,10-04,North Point,,Ming Yuen,69 year old woman climbed out window and fell from building
642,2016,10-02,Tsuen Wan,,Hoi Fai Garden,68 year old woman fell from heights and died on the spot
643,2016,10-01,Lam Tin,Lei On Court,Lei Yi House,28 year old man troubled by money issue hanged himself in bathroom with clothes
644,2016,10-01,Hung Hom,,Whampoa Garden,85 year old man suffering from emotional and physical illness fell from apartment
645,2016,10-01,Siu Sai Wan,Siu Sai Wan Estate,Sui Tai House,77 year old man jumped from heights
646,2016,09-30,Kwun Tong,Shun Tin Estate,Tin Kei House,55 year old man hanged himself from window with tie
647,2016,09-30,Quarry Bay,Harbour View Gardens,Primrose Mansion,67 year old man jumped from room and died
648,2016,09-30,Pok Fu Lam,,Greenery Garden,42 year old Australian man was found unconscious inside apartment and died
649,2016,09-28,Tin Shui Wai,Tin Tsz Estate,Tsz Sum House,20 year old woman jumped from apartment after throwing clothes out to the street
650,2016,09-28,Sheung Shui,,Hang Tau Tsuen,60 year old man died in accidental fire when attempting to fend off mosquito with fire in bathroom
651,2016,09-28,North Point,,Ka Wai Building,55 year old man was found unconscious and died
652,2016,09-27,Sha Tin,Sun Chui Estate,Sun Fong House,40 year old man fell from building and died
653,2016,09-27,Wan Chai,,Chi Po Mansion,96 year old man committed suicide by wrapping saran wrap around his head in apartment
654,2016,09-26,Shau Kei Wan,,Grand Promenade,47 year old foreigner plagued by money problems jumped from apartment
655,2016,09-25,Ngau Tau Kok,Shun On Estate,On Yat House,40 year old woman suffering from mental illness committed suicide and jumped from the apartment
656,2016,09-24,Wong Tai Sin,Tsz Hong Estate,Hong Tak House,65 year old man fell from heights and was pronounced dead upon arrival at hospital
657,2016,09-22,Shau Kei Wan,Oi Tung Estate,Oi Po House,Man hanged himself in apartment and was pronounced dead upon arrival at hospital
658,2016,09-20,Tsim Sha Tsui,,Yen Yin Building,26 year old man was found unconscious and pronounced dead upon arrival at hospital
659,2016,09-19,Kwun Tong,Shun Lee Estate,Lee Ming House,34 year old man fell from building and died on the scene
660,2016,09-17,Tin Shui Wai,Tin Yat Estate,Yat Long House,58 year old man committed charcoal suicide in apartment and was found dead by his wife
661,2016,09-17,Lai Chi Kok,,Mei Foo Phase 1,91 year old woman fell from building and died
662,2016,09-16,Yuen Long,,Hang Tau Tsuen,41 year old woman committed charcoal suicide and was found dead after reports of foul odor coming from her unit
663,2016,09-16,North Point,,,51 year old man fell from building and died on the scene
664,2016,09-14,Sha Tin,Lung Hang Estate,Sin Sam House,36 year old man fell from building and died
665,2016,09-14,Aberdeen,Tin Wan Estate,Tin Lai House,45 year old woman committed charcoal suicide and was found dead by son
666,2016,09-13,Tin Shui Wai,Tin Ching Estate,Ching Choi House,Man committed charcoal suicide and was found dead after reports of smoke from his apartment
667,2016,09-13,Tuen Mun,Yau Oi Estate,Oi Lok House,57 year old man was found died in bathroom after reports of foul odor coming from his unit
668,2016,09-13,Tuen Mun,,Century Gateway Phase 2,Woman fell from apartment unit and died from her injuries
669,2016,09-12,Tseung Kwan O,,The Wings,84 year old woman fell from height and died on the scene
670,2016,09-11,Tai Po,,Pang Chung,"3 month old baby girl was found with blanket over her head, she had no breathing and was pronounced dead upon arrival at hospital"
671,2016,09-09,Hung Hom,Hung Hom Estate,Hung Yan House,"Surrounding debris caught fire when burning candles, 67 year old woman died of smoke inhalation"
672,2016,09-08,Tsuen Wan,Hong Kong Garden,Lincoln Heights,40 year old man fell from heights and died
673,2016,09-08,Tai Po,Sun Hing Garden,Hong Yan Court,35 year old woman jumped from window and died after an argument with her family and injuring her aunt
674,2016,09-08,Tai Po,Wang Fuk Court,Wang Chi House,Woman with mental illness jumped from heights and died on the scene
675,2016,09-08,Sham Shui Po,,Nam Cheong Building,56 year old man hanged himself in studio unit and died
676,2016,09-08,Mong Kok,,Po Lun Building,73 year old man committed suicide in his room by hanging himself
677,2016,09-07,Tai Po,Tai Yuen Estate,Tai Yan House,46 year old man and his 42 year old sister committed charcoal suicide due to debt issues
678,2016,09-05,Shau Kei Wan,,,83 year old man was found dead after tying his hands with wire and electrocuting himself
679,2016,09-05,Quarry Bay,Model House Estate,Man Hong House,53 year old woman jumped from heights and died on the scene
680,2016,09-04,Sheung Shui,Tai Ping Estate,Ping Chiing House,34 year old woman jumped from building and died from her injuries
681,2016,09-02,Tsim Sha Tsui,,Harbourside Tower,68 year old man jumped from apartment and died on the scene
682,2016,09-01,Aberdeen,,Pat Leung Building,29 year old man was found in apartment after hanging himself
683,2016,08-31,Hung Hom,,28 Bulkeley Street,35 year old woman fell from heights and died on the scene
684,2016,08-31,Happy Valley,,Yee Fung Building,54 year old man found dead inside home
685,2016,08-30,Kwai Chung,Kwai Shing East Estate,Shing Lok House,62 year old man hanged himself with nylon rope and died
686,2016,08-30,Fanling,Ka Fuk Estate,Fuk Lok House,Female security guard found man unconscious in his apartment and he was later pronounced dead
687,2016,08-29,Sha Tin,,Jubilee Garden Block 4,60 year old woman from apartment window and died
688,2016,08-29,Fanling,,Flora Plaza Block 8,Man fell from building and was pronounced dead
689,2016,08-27,Tsuen Wan,,45-53 Ho Pui Street,59 year old man hanged himself with nylon rope from bunk bed and was discovered by his brother
690,2016,08-27,Tai Po,Fu Shin Estate,Shin Kwan House,65 year old man fell from balcony in the morning and died
691,2016,08-27,Hung Hom,,Laguna Verde,77 year old man suffering from health issue jumped from apartment unit
692,2016,08-26,Tin Shui Wai,Tin Wah Estate,Wah Sui House,58 year old man jumped out of apartment window during police investigation of his alleged theft charge
693,2016,08-26,Tuen Mun,Leung King Estate,Leung Chun House,28 year old man jumped from bedroom and pronounced dead upon arrival at hospital
694,2016,08-25,Yuen Long,,Wang Toi Shan Shan Tsuen,74 year old man hanged himself with rope due to illness
695,2016,08-25,Sha Tin,,Carado Garden,58 year old man hanged himself with bedsheets in bedroom and pronounced dead upon arrival at hospital
696,2016,08-25,Wong Tai Sin,Tsz Lok Estate,Lok Wong House,26 year old woman committed suicide by overdose due to health problem
697,2016,08-24,Tseung Kwan O,Sheung Tak Estate,Sheung Chi House,26 year old man jumped from heights due to family issues
698,2016,08-24,Tseung Kwan O,Ming Tak Estate,Ming Kok House,50 year old man jumped from apartment due to illness and died on the scene
699,2016,08-24,Lam Tin,Lam Tin Estate,Lam Fai House,55 year old man fell from heights and died
700,2016,08-23,Tin Shui Wai,Tin Tsz Estate,Tsz Ping House,Woman removed grilles from bathroom and jumped off building
701,2016,08-23,Tai Po,,Elegance Garden,Man jumped from height and died
702,2016,08-23,Sha Tin,Pok Hong Estate,Pok On House,68 year old man's body was discovered after hanging himself at home
703,2016,08-23,Ma On Shan,Yiu On Estate,Yiu Yan House,31 year old woman fell from height and body was hanging on a laundry rack on 12th floor of building
704,2016,08-23,Kwai Chung,,Man Shing Mansion,14 year old youth jumped out of a vacant unit and died
705,2016,08-23,Ngau Tau Kok,Upper Ngau Tau Kok Estate,Sheung Moon House,48 year old man committed suicide by overdose on psychiatric medications
706,2016,08-23,Repulse Bay,,Grosvenor Place,47 year old Spanish woman fainted and fell into swimming pool in club house was pronounced dead
707,2016,08-23,Chai Wan,Hing Wah Estate,Ning Hing House,33 year old man fell off building and died
708,2016,08-22,Yuen Long,,Chun Hing San Tsuen,59 year old man was found unconscious in bed and died
709,2016,08-22,Tin Shui Wai,Tin Shui Estate,Shui Moon House,95 year old man hanged himself with nylon rope inside apartment
710,2016,08-22,Kowloon Tong,,22B La Salle Road,97 year old man was found unconscious inside apartment and was pronounced dead upon arrival at hospital
711,2016,08-21,Tseung Kwan O,Tsui Lam Estate,On Lam House,67 year old man with illness jumped off building and died
712,2016,08-21,Sheung Shui,Ching Ho Estate,Ching Chiu House,29 year old woman died on the spot after falling from height
713,2016,08-20,Tai Kok Tsui,Fu Cheong Estate,Fu Wen House,61 year old man fell from height and died
714,2016,08-19,Ngau Tau Kok,Choi Ying Estate,Ying On House,35 year old man fell to his death after removing grilles from bathroom
715,2016,08-17,Yuen Long,,Park Signature,44 year old man jumped off building and died from his injuries due to financial trouble
716,2016,08-17,Tsuen Wan,Shek Wai Kok Estate,Shek Tsui House,40 year old woman jumped off building and died
717,2016,08-16,Ma On Shan,Heng On Estate,Heng Yuet House,56 year old man hanged himself in apartment due to financial problem
718,2016,08-16,Chai Wan,Tsui Wan Estate,Tsui Fuk House,64 year old man climbed out of window and fell to his death
719,2016,08-16,Lai Chi Kok,,Mei Foo Phase 08,61 year old woman was killed on the spot after falling off building
720,2016,08-15,Tuen Mun,,Prime View Garden,62 year old man died in hospital after fall from height
721,2016,08-15,Wong Tai Sin,Upper Wong Tai Sin Estate,Kai Sin House,80 year old man died after falling from height
722,2016,08-14,Kwai Chung,Shek Yam East Estate,Yam Hing House,58 year old man died on the spot after falling from height
723,2016,08-14,Ho Man Tin,,Fu Tao Building,50 year old man was found dead in the bathroom after hanging himself with roped tied to laundry rods
724,2016,08-13,Tai Po,Wang Tao House,Wang Fuk Court,80 year old man was killed after falling from his room
725,2016,08-13,Tseung Kwan O,,Nan Fung Plaza,Woman was killed after fall from height
726,2016,08-13,Tai Kok Tsui,,Glory Days Building,47 year old woman was stabbed by her husband after an argument and was pronounced dead upon arrival at hospital
727,2016,08-13,Diamond Hill,Fu Shan Estate,Fu Shun House,71 year old physician fell into a coma and died
728,2016,08-12,Tai Po,Fu Heng Estate,Heng Tai House,36 year old woman was certified dead after falling from height
729,2016,08-11,Kowloon City,Mei Tung Estate,Mei Tak House,53 year old man had been dead for 2 days and body was discovered by girlfriend
730,2016,08-10,Tin Shui Wai,Tin Yiu Estate,Yiu Hong House,Woman was found dead inside apartment after report of foul smell
731,2016,08-10,Tai Kok Tsui,,Tai Kok Tsui Building,63 year old man suffering from heart disease was found dead inside apartment after report of foul smell
732,2016,08-10,Sham Shui Po,,Ying Fuk Building,68 year old man suffered a sudden death and body was discovered inside apartment after report of foul smell
733,2016,08-08,Central,,Henley Building,40 year old pregnant woman collapsed in restroom and was pronounced dead upon arriving at hospital
734,2016,08-03,Chai Wan,Hing Wah Estate,Yu Hing House,39 year old man fell from height in the morning
735,2016,08-02,Wong Tai Sin,,Wah Kay House,2-month-old baby boy was found unconscious by her mother and was pronounced dead upon arriving at hospital
736,2016,08-02,Shau Kei Wan,Heng Yuet House,,42 year old woman jumped from apartment window due to work stress
737,2016,07-31,Tsuen Wan,,Sham Tseng Village,Man was found unconscious in bed and confirmed died
738,2016,07-30,Tsuen Wan,Shek Wai Kok Estate,Shek To House,52 year old woman fell from apartment after an argument with her ex-husband
739,2016,07-30,Tuen Mun,,6 Yick Yuen Road,Woman hanged herself and was found dead in the bathroom by boyfriend
740,2016,07-27,Lam Tin,Tak Tin Estate,Tak King House,80 year old man was discovered dead inside unit
741,2016,07-26,Sha Tin,Sun Chui Estate,Sun Kit House,Man plagued by mood disorder fell from the unit and died from his injuries
742,2016,07-25,Tung Chung,Yat Tung Estate,Chui Yat House,Youth suffering from emotional problems fell from height and was pronounced dead upon arrival at hospital
743,2016,07-24,Tin Shui Wai,Tin Shui Estate,Shui Moon House,60 year old man was found dead inside flat after falling unconscious
744,2016,07-24,Cheung Sha Wan,,Banyan Garden,44 year old man was found dead at home after falling unconscious
745,2016,07-23,Tuen Mun,,Kam Wah Garden,87 year old man fell from flat and died instantaneously
746,2016,07-22,Yuen Long,Tin Yuet Estate,Yuet Tai House,29 year old man fell from heights and died
747,2016,07-22,Tai Kok Tsui,,Chung Mei Building,40 year old man was found dead inside residence after falling unconscious
748,2016,07-21,Mong Kok,,77 Prince Edward Road West,50 year old woman was found dead after hanging herself
749,2016,07-21,Shau Kei Wan,Oi Tung Estate,Oi Yuk House,34 year old man fell from heights and died
750,2016,07-20,Kwun Tong,,Lai Yue Building,87 year old man jumped from building due to distress in life and died on location
751,2016,07-20,Causeway Bay,,Prospect Mansion,61 year old woman committed charcoal suicide due to financial and relationship problems
752,2016,07-18,Tuen Mun,Leung King Estate,Leung Wah House,57 year old man committed charcoal suicide due to financial and health problems
753,2016,07-18,Wong Tai Sin,Chuk Yuen South Estate,Chui Yuen House,73 year old man fell from heights and was pronounced dead
754,2016,07-18,To Kwa Wan,,Tung Hing Building,70 year old man was found dead inside residence after firefighters broke in
755,2016,07-18,Quarry Bay,,Kornhill Block H,36 year old man with lung disease was found unconscious inside bedroom and was pronounced dead
756,2016,07-16,Tai Po,,Wai Tau Tsuen,52 year old man was found to have committed charcoal suicide after report of foul smell
757,2016,07-16,Sha Tin,Sha Kok Estate,Herring Gull House,50 year old woman fell from laundry rack and died upon arrival at hospital
758,2016,07-16,Kennedy Town,,Kwun Loong Lau Building,63 year old man was severely burned and died after starting arson attack against neighbor
759,2016,07-16,Kennedy Town,,Kwun Loong Lau Building,A family of three was burned alive and died after neighbor started fire
760,2016,07-14,Tuen Mun,Fu Tai Estate,Yat Tai House,Man fell from building and was pronounced dead upon arrival at hospital
761,2016,07-14,Tsim Sha Tsui,,Lucky House,30 year old woman was found dead after relapse
762,2016,07-11,Tin Shui Wai,Tin Shui Estate,Shui Fung House,80 year old man jumped off building and died due to distress in life
763,2016,07-07,Tai Po,Fu Heng Estate,Heng Shing House,Man fell from heights and died
764,2016,07-06,Tuen Mun,Leung King Estate,Leung Shui House,Old man was found dead inside flat
765,2016,07-06,Kwai Chung,Shek Lei Estate 1,Shek Chun House,51 year old man was dead in flat after falling unconscious
766,2016,07-05,Sheung Shui,Tin Ping Estate,Tin Hor House,73 year old man suffocated to death after fire started in living room
767,2016,07-03,Tseung Kwan O,Kin Ming Estate,Ming Wik House,84 year old man jumped from building due to distress in life
768,2016,07-02,Yuen Long,,Tai Kong Po Tsuen,70 year old woman was found unconscious in a hut and died upon arrival at hospital
769,2016,07-01,Ho Man Tin,Ho Man Tin Estate,Choi Man House,50 year old man fell through kitchen window and was pronounced dead upon arrival at hospital
770,2016,06-30,Sai Ying Pun,,Kwong Fung Terrace,Middle-aged man fell from heights and was pronounced dead upon arrival at hospital
771,2016,06-29,Kwun Tong,Lok Wah North Estate,Yan Wah House,34 year old woman was found dead in living room after report of foul smell
772,2016,06-28,Yuen Long,,Parcville Tower,39 year old woman was found dead in the living room after committing charcoal suicide
773,2016,06-28,Sheung Shui,Choi Yuen Estate,Choi Chu House,47 year old man fell from heights
774,2016,06-28,Chai Wan,Wan Tsui Estate,Chak Tsui House,Man was found in flat after hanging himself
775,2016,06-26,Sheung Shui,,Hung Leng Tsuen,Young woman got drunk due to relationship problem and fell from balcony
776,2016,06-26,Repulse Bay,,Repulse Bay Garden,Man fell from height and landed on podium
777,2016,06-23,Yau Ma Tei,,Parc Palais,14 year old boy committed suicide due to relationship problem and academic pressure
778,2016,06-23,Sham Shui Po,Wing Cheung Estate,Wing Chun House,52 year old man fell from flat and body split into half
779,2016,06-23,Chai Wan,,Neptune Terrace,Old man jumped from building due to illness
780,2016,06-22,Tin Shui Wai,,Central Park Towers,Foreign man fell from flat when hanging laundry
781,2016,06-22,Lam Tin,Kai Tin Estate,Kai Yan House,Man fell from heights and died instantly
782,2016,06-22,Ho Man Tin,Oi Man Estate,Chiu Man House,Boy found unconscious and died upon arrival at hospital
783,2016,06-21,Tai Wai,,On Shun Mansion,Middle-aged woman hanged herself due to financial problems
784,2016,06-21,Sham Shui Po,Nam Cheong Estate,Cheong Chit House,Man found dead after falling from heights
785,2016,06-20,Kwun Tong,Lok Wah South Estate,Chin Wah House,28 year old man committed charcoal burning suicide at old residence
786,2016,06-20,Chai Wan,Siu Sai Wan Estate,Sui Lok House,Female university graduate hanged herself due to unemployment
787,2016,06-19,Chai Wan,Hing Wah Estate,Lok Hin House,63 year old retired father fainted during dinner and pronounced dead upon arrival at hospital
788,2016,06-18,Ma On Shan,Lee On Estate,Lee Fung House,Bus driver argued with wife and jumped from flat
789,2016,06-17,Sha Tin,Hin Keng Estate,Hin Kwai House,29 year old woman jumped off building
790,2016,06-17,Wong Tai Sin,Tsz Ching Estate,Ching Wo House,20 year old DSE student jumped off building
791,2016,06-15,Wong Tai Sin,Tsz Lok Estate,Lok Tin House,56 year old committed charcoal burning suicide due to financial problems
792,2016,06-15,Sham Shui Po,,55 Yen Chow Street,37 year old woman committed suicide by taking pills found by boyfriend
793,2016,06-13,Kowloon Tong,,LaFord Court,80 year old man fainted and pronounced dead upon arrival at hospital
794,2016,06-10,Tuen Mun,,Prime View Garden,Depressed and unemployed man jumped off building
795,2016,06-10,Tseung Kwan O,Metro Town,Le Point,59 year old woman left note and committed suicide due to illness
796,2016,06-10,Wan Chai,,69 Wanchai Road,Lone old man died inside flat
797,2016,06-09,North Point,,Tanner Garden,Son with long-term illness found died by his father
798,2016,06-08,Ma On Shan,,Sunshine City,Man with stomach cancer jumped off building during visit to parents
799,2016,06-07,Pokfulam,Wah Fu Estate,Wah Kin House,72 year old woman jumped off building and died
800,2016,06-05,Tai Po,,Classical Gardens,57 year old woman committed suicide due to relationship issues
801,2016,06-05,Sha Tin,,Greenfield Court,80 year old committed suicide due to suffering from illness
802,2016,06-03,Ma On Shan,Heng On Estate,Heng Hoi House,41 year old man got electrocuted and died while fixing appliances for mother-in-law
803,2016,06-03,Kwai Chung,,Wonderland Villas,50 year old man hanged himself due to business failure
804,2016,06-03,Kwun Tong,Tsui Ping South Estate,Tsui Chung House,77 year old woman committed suicide by jumping off building
805,2016,06-01,Tin Shui Wai,Tin Chung Court,Chung Shui House,36 year old man committed suicide due to work stress
806,2016,05-31,Siu Sai Wan,Siu Sai Wan Estate,Sui Fat House,42 year old woman jumped from living room was found by husband
807,2016,05-30,Kowloon City,Mei Tung Estate,Mei Yan House,45 year old man fell from kitchen and died instantly
808,2016,05-27,Sha Tin,Wo Che Estate,Hip Wo House,Unemployed man with mood disorder committed charcoal-burning suicide
809,2016,05-25,Ma On Shan,,Chevalier Garden,90 year old man fell from his apartment and died upon arrival at hospital
810,2016,05-24,Sai Kung,,Tui Min Hoi Chuen,38 year old man fell unconscious at home and died
811,2016,05-24,Tin Shui Wai,Tin Chak Estate,Chak Sing House,Woman with a history of mental illness jumped off building
812,2016,05-23,Kwai Chung,Shek Lei Estate,Shek Cheung House,Old man jumped off building and died
813,2016,05-22,Sha Tin,Chun Shek Estate,Shek Fai House,68 year old man jumped off building due to illness
814,2016,05-21,Cheung Sha Wan,,Yiu Fai Mansion,47 year old woman in debt and committed charcoal-burning suicide
815,2016,05-19,Lam Tin,,Laguna City,Woman committed charcoal-burning suicide due to health issues
816,2016,05-18,To Kwa Wan,,43 Pak Tai Street,Man in financial trouble committed charcoal-burning suicide
817,2016,05-17,Tseung Kwan O,Po Lam Estate,Po Tai House,Middle-aged woman jumped off building
818,2016,05-16,Ngau Tau Kok,Kwun Tong Garden Estate,Lotus Towers,79 year old man jumped off building due to health issues
819,2016,05-15,Yuen Long,,Nam Pin Wai,Old woman committed charcoal-burning suicide accompanied by six pets
820,2016,05-10,Tin Shui Wai,Tin Wah Estate,Wah Yuet House,Young clerk jumped off building after encountering problem with long distance relationship
821,2016,05-07,Tai Kok Tsui,,Bedford Mansion,Old man lost balance while hanging laundry and fell to his death
822,2016,05-07,Tseung Kwan O,,Ying Ming Court,Woman hanged herself with scarf
823,2016,04-30,Yau Ma Tei,,Po Lok Building,80 year old man jumped from roof and landed on the bed of a female resident
824,2016,04-29,Ngau Chi Wan,Ping Shek Estate,Lam Shek House,70 year old woman jumped off building
825,2016,04-21,Mei Foo,,Mei Foo Sun Chuen,Master graduate jumped off building due to stress at new job
826,2016,04-20,Tai Po,Fu Heng Estate,Heng Yiu House,25 year old man committed suicide due to work and relationship issues
827,2016,04-18,Sha Tin,Sun Chui Estate,Sun Yuet House,Fireman in debt committed suicide in bathroom
828,2016,04-16,Kwun Tong,Kwun Tong Garden Estate,Pak Ling Lau,Woman committed charcoal-burning suicide after break-up
829,2016,04-13,Ho Man Tin,Ho Man Tin Estate,Sik Man House,Form 4 student hanged himself
830,2016,04-12,Tseung Kwan O,King Lam Estate,King Yu House,24 year old girl committed suicide by taking pills
831,2016,04-12,Sha Tin,,To Shek Village House,Chinese University research assistant committed suicide due to work stress
832,2016,04-10,Tsim Sha Tsui,,Alpha House,51 year old man suffocated himself with bag after encountering relationship problems
833,2016,04-10,Sai Wan Ho,,18 Shing On Street,Japanese man committed suicide by jumping off building
834,2016,04-02,Yau Tong,Yau Mei Court,Chak Mei House,Police constable committed charcoal-burning suicide due to marital and health problems
835,2016,03-26,Quarry Bay,,Hoi Kwong Court,22 year old man suffering from mood disorder hanged himself
836,2016,03-20,Yuen Long,Hung Fuk Estate,Hung Shing House,Middle-aged man fainted at home and died
837,2016,03-13,Tseung Kwan O,,Hong Sing Gardens,Female Polytechnic student left suicide note and jumped out of apartment
838,2016,03-12,Sha Tin,Jat Min Chuen,Ming Shun Lau,11 year old girl fell from building and died
839,2016,03-11,Ap Lei Chau,South Horizons,Hoi Wan Court,Youth committed suicide due to struggle with eye illness
840,2016,03-08,Sha Tin,,City One Shatin,Couple accompanied by pet dog committed charcoal-burning suicide
841,2016,03-08,Tin Shui Wai,Tin Chung Court,Chung Ho House,12 year old form 1 student committed suicide due to academic pressure
842,2016,03-05,Fanling,,Dawning Views,20 year old Chinese University medical student committed suicide due to academic pressure
843,2016,02-29,Ma On Shan,Lee On Estate,Lee Wah House,50 year old woman with mood disorder jumped off building
844,2016,02-27,Yuen Long,,Palm Springs,2 year old fell into a coma and died
845,2016,02-24,Tai Kok Tsui,,Wah Lai Court,Man in financial trouble committed charcoal-burning suicide
846,2016,02-21,Tuen Mun,,Siu Lung Court,Baby's skin turned purple and died suddenly
847,2016,02-18,Tseung Kwan O,Yee Ming Estate,Yee Ching House,Form 5 student jumped off building due to academic pressure
848,2016,02-14,Kennedy Town,,Nan Hai Mansion,Man fell from apartment unit and died upon arrival at hospital
849,2016,02-11,Tin Shui Wai,Tin Shing Court,Shing Yuk House,Middle-aged man committed suicide due to long term suffering from mood disorder
850,2016,02-06,Tin Shui Wai,Kingswood Villas,Maywood Court,Man committed suicide by burning after knocking girlfriend unconscious
851,2016,02-05,Ngau Chi Wan,Choi Hung Estate,Pak Suet House,Man with marital problem hanged himself with electrical wire
852,2016,02-04,Yuen Long,,Parkside Villa,One-month baby fell in a coma and died upon arrival at hospital
853,2016,02-02,Siu Sai Wan,,Island Resort,Woman jumped off building due to work and relationship issues
854,2016,02-01,Sha Tin,Pok Hong Estate,Pok Tai House,Woman with asthma fainted at home and died
855,2016,01-30,Yuen Long,,Pat Heung Village House,Helper and employer died in a fire
